"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"412",411,160,2,617,1,121,14,0,0,4,4,5,7,7,770,3,18,34,5,8,0,1,182,"0"
"414",413,375,1,623,2,105,7,0,0,4,3,5,15,7,427,2,14,41,8,5,0,1,2,"0"
"421",420,530,1,606,1,72,10,0,0,4,3,5,4,7,268,2,0,235,8,5,0,1,56,"0"
"422",421,484,1,60,0,77,14,2,4,4,4,5,9,7,653,5,14,190,8,9,0,1,82,"0"
"423",422,69,2,55,2,96,14,0,0,1,0,5,4,7,73,0,14,133,8,8,0,1,336,"1"
"424",423,484,1,60,0,77,14,2,4,4,4,5,9,7,69,5,0,193,6,9,0,1,82,"0"
"425",424,476,1,50,1,18,2,0,0,4,1,5,4,7,401,1,14,185,8,7,0,1,26,"0"
"431",430,120,2,54,2,134,14,0,0,4,4,5,9,7,287,2,14,107,15,5,0,1,136,"0"
"433",432,476,1,50,1,18,2,0,0,4,1,5,4,7,485,2,14,13,5,7,0,1,26,"0"
"436",435,242,0,155,1,16,8,0,0,4,4,5,13,7,490,5,18,35,6,7,0,1,494,"0"
"437",436,121,2,161,2,27,14,2,4,4,1,5,14,6,400,1,14,19,5,5,0,1,373,"0"
"440",439,109,2,157,2,70,14,2,4,4,0,5,9,7,331,1,14,19,15,5,0,1,212,"0"
"443",442,364,1,579,1,100,14,0,0,4,1,5,4,7,755,1,14,3,5,7,0,1,162,"0"
"445",444,531,1,621,0,77,14,0,0,4,2,5,9,7,85,5,0,172,15,7,0,1,73,"2"
"446",445,61,2,163,0,77,14,0,0,4,4,5,15,5,413,1,14,207,0,8,0,1,77,"0"
"448",447,515,1,566,1,10,12,0,0,1,1,5,14,7,700,1,14,207,8,5,0,1,11,"0"
"449",448,40,2,578,1,121,14,1,0,4,4,5,15,7,16,2,14,154,6,8,0,1,198,"0"
"451",450,364,1,579,1,100,14,0,0,4,1,5,4,7,876,1,0,198,8,7,0,1,162,"0"
"452",451,40,2,578,1,121,14,1,0,4,4,5,15,7,766,1,14,43,8,8,0,1,198,"0"
"453",452,96,2,573,1,100,14,1,0,4,1,5,9,7,361,2,14,207,15,8,0,1,96,"0"
"454",453,228,3,568,1,83,16,0,0,4,4,5,9,7,105,5,14,24,15,7,0,1,32,"1"
"456",455,546,1,162,2,32,10,1,4,4,3,5,7,6,867,5,5,224,1,5,0,1,54,"0"
"459",458,18,2,385,1,100,14,2,4,4,4,5,9,7,251,1,14,19,15,8,0,1,238,"0"
"460",459,18,2,385,1,100,14,2,4,4,4,5,9,7,476,2,0,207,15,8,0,1,238,"0"
"462",461,158,2,386,1,100,14,0,4,4,1,5,9,6,448,1,14,62,0,7,0,1,213,"0"
"464",463,156,2,379,1,127,14,1,4,5,4,5,6,7,517,1,14,44,0,6,0,1,101,"0"
"468",467,200,2,247,2,81,14,2,4,2,1,5,11,6,839,3,17,90,5,5,0,1,269,"0"
"469",468,460,1,231,1,124,8,0,0,4,4,5,8,7,489,1,14,210,5,7,0,1,474,"0"
"472",471,451,1,581,2,35,8,0,0,4,3,5,15,6,484,2,14,116,5,5,0,1,517,"0"
"473",472,365,1,583,2,53,14,0,0,4,5,5,15,7,444,1,14,19,8,6,0,1,382,"0"
"476",475,11,2,597,1,121,14,0,0,4,4,5,7,7,449,1,14,15,18,6,0,1,153,"0"
"477",476,11,2,597,1,121,14,0,0,4,4,5,7,6,298,2,14,51,5,6,0,1,153,"0"
"486",485,11,2,597,1,121,14,0,0,4,4,5,7,7,797,2,14,15,8,6,0,1,153,"0"
"488",487,474,1,577,1,18,1,0,0,4,1,5,13,7,353,5,22,130,8,7,0,1,18,"0"
"489",488,519,1,589,1,76,8,0,0,1,4,5,4,7,896,2,14,51,5,7,0,1,588,"0"
"490",489,108,2,592,2,8,14,0,0,4,1,5,4,6,349,0,14,5,5,5,0,1,222,"0"
"494",493,415,1,229,1,38,14,1,0,4,4,5,7,7,101,2,14,15,2,9,0,1,351,"0"
"499",498,2,2,64,1,100,14,2,4,4,4,5,15,7,473,5,14,13,8,8,0,1,152,"0"
"500",499,2,2,64,1,100,14,2,4,4,4,5,15,7,463,2,16,19,5,5,0,1,152,"0"
"510",509,373,1,56,1,18,3,0,0,4,3,5,15,7,70,1,14,86,8,6,0,1,31,"1"
"519",518,281,0,71,2,40,8,0,0,4,1,5,13,6,343,5,14,19,2,5,0,1,483,"0"
"521",520,136,2,76,2,134,14,0,0,4,4,5,15,7,11,2,14,161,18,8,0,1,114,"0"
"525",524,99,2,87,2,87,14,0,0,1,3,5,4,7,378,5,14,14,15,3,0,1,265,"1"
"528",527,374,1,66,1,18,1,2,4,4,1,5,9,7,512,5,14,116,18,7,0,1,20,"0"
"532",531,477,1,86,2,39,5,0,0,1,1,5,13,7,728,3,3,207,8,5,0,1,10,"0"
"536",535,199,2,240,1,38,14,0,0,4,4,5,4,7,456,5,18,33,18,5,0,1,359,"1"
"538",537,63,2,181,1,84,14,0,0,4,4,5,9,5,335,1,0,207,15,9,0,1,289,"0"
"540",539,138,2,174,2,134,14,0,0,4,4,5,9,7,507,1,14,101,15,8,0,1,117,"0"
